(18, 76, 87)
(18, 77, 158)
(18, 78, 85)
(18, 78, 87)
(18, 80, 85)
(18, 80, 87)
(18, 80, 158)
(18, 81, 158)
(18, 83, 87)
(18, 85, 99)
(18, 85, 158)
(18, 87, 99)
(18, 95, 158)
(18, 96, 158)
(18, 97, 158)
(18, 99, 158)
(18, 101, 158)
(18, 105, 158)
(18, 109, 158)
(18, 111, 158)
(18, 113, 158)
(18, 116, 158)
(18, 119, 158)
(18, 124, 158)
(18, 134, 158)
(18, 138, 158)
(18, 139, 158)
(18, 142, 158)
(18, 148, 158)
(18, 149, 158)
(18, 152, 158)
(18, 155, 158)
(18, 158, 159)
(19, 20, 26)
(19, 20, 119)
(19, 20, 130)
(19, 30, 69)
(19, 34, 56)
(19, 40, 152)
(19, 43, 75)
(19, 58, 75)
(19, 68, 70)
(19, 70, 85)
(19, 70, 131)
(19, 75, 100)
(19, 75, 127)
(19, 75, 147)
(20, 21, 26)
(20, 21, 32)
(20, 21, 151)
(20, 22, 26)
(20, 22, 31)
(20, 22, 119)
(20, 22, 130)
(20, 22, 151)
(20, 23, 26)
(20, 24, 26)
(20, 24, 101)
(20, 24, 154)
(20, 25, 26)
(20, 26, 27)
(20, 26, 28)
(20, 26, 29)
(20, 26, 30)
(20, 26, 31)
(20, 26, 32)
(20, 26, 33)
(20, 26, 34)
(20, 26, 35)
(20, 26, 36)
(20, 26, 37)
(20, 26, 38)
(20, 26, 39)
(20, 26, 40)
(20, 26, 41)
(20, 26, 42)
(20, 26, 43)
(20, 26, 44)
(20, 26, 45)
(20, 26, 46)
(20, 26, 47)
(20, 26, 48)
